#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Sun Dec 01 14:49:27 2019

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       main_map.ncd
#OUTPUT FILE:      main_pad.csv
#PART TYPE:        xc3s50a
#SPEED GRADE:      -5
#PACKAGE:          vq100
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P1,,,TMS,,,,,,,,,,,,
P2,,,TDI,,,,,,,,,,,,
P3,,DIFFMLR,IO_L01P_3,UNUSED,,3,,,,,,,,,
P4,,DIFFSLR,IO_L01N_3,UNUSED,,3,,,,,,,,,
P5,,DIFFMLR,IO_L02P_3,UNUSED,,3,,,,,,,,,
P6,,DIFFSLR,IO_L02N_3,UNUSED,,3,,,,,,,,,
P7,,DIFFSI_NDT,IP_3/VREF_3,UNUSED,,3,,,,,,,,,
P8,,,GND,,,,,,,,,,,,
P9,,DIFFMLR,IO_L03P_3/LHCLK0,UNUSED,,3,,,,,,,,,
P10,,DIFFSLR,IO_L03N_3/LHCLK1,UNUSED,,3,,,,,,,,,
P11,,,VCCO_3,,,3,,,,,any******,,,,
P12,downward,IBUF,IO_L04P_3/LHCLK2,INPUT,LVCMOS25*,3,,,,IBUF,,LOCATED,NO,NONE,
P13,,DIFFSLR,IO_L04N_3/IRDY2/LHCLK3,UNUSED,,3,,,,,,,,,
P14,,,GND,,,,,,,,,,,,
P15,chronToClock,IBUF,IO_L05P_3/TRDY2/LHCLK6,INPUT,LVCMOS25*,3,,,,IBUF,,LOCATED,NO,NONE,
P16,,DIFFSLR,IO_L05N_3/LHCLK7,UNUSED,,3,,,,,,,,,
P17,,,VCCINT,,,,,,,,1.2,,,,
P18,,,GND,,,,,,,,,,,,
P19,,DIFFMLR,IO_L06P_3,UNUSED,,3,,,,,,,,,
P20,,DIFFSLR,IO_L06N_3,UNUSED,,3,,,,,,,,,
P21,,DIFFMI_NDT,IP_3,UNUSED,,3,,,,,,,,,
P22,,,VCCAUX,,,,,,,,2.5,,,,
P23,,DIFFMTB,IO_L01P_2/M1,UNUSED,,2,,,,,,,,,
P24,,DIFFMTB,IO_L02P_2/M2,UNUSED,,2,,,,,,,,,
P25,,DIFFSTB,IO_L01N_2/M0,UNUSED,,2,,,,,,,,,
P26,,,VCCO_2,,,2,,,,,2.50,,,,
P27,,DIFFSTB,IO_L02N_2/CSO_B,UNUSED,,2,,,,,,,,,
P28,,DIFFMTB,IO_L03P_2/RDWR_B,UNUSED,,2,,,,,,,,,
P29,,DIFFMTB,IO_L04P_2/VS2,UNUSED,,2,,,,,,,,,
P30,,DIFFSTB,IO_L03N_2/VS1,UNUSED,,2,,,,,,,,,
P31,,DIFFSTB,IO_L04N_2/VS0,UNUSED,,2,,,,,,,,,
P32,,DIFFMTB,IO_L05P_2,UNUSED,,2,,,,,,,,,
P33,pause,IBUF,IO_L06P_2,INPUT,LVCMOS25*,2,,,,IBUF,,LOCATED,NO,NONE,
P34,reset,IBUF,IO_L05N_2/D7,INPUT,LVCMOS25*,2,,,,IBUF,,LOCATED,NO,NONE,
P35,,DIFFSTB,IO_L06N_2/D6,UNUSED,,2,,,,,,,,,
P36,,DIFFMTB,IO_L07P_2/D5,UNUSED,,2,,,,,,,,,
P37,,DIFFSTB,IO_L07N_2/D4,UNUSED,,2,,,,,,,,,
P38,,,VCCINT,,,,,,,,1.2,,,,
P39,,IBUF,IP_2/VREF_2,UNUSED,,2,,,,,,,,,
P40,clk,IBUF,IO_L08P_2/GCLK14,INPUT,LVCMOS25*,2,,,,IBUF,,LOCATED,NO,NONE,
P41,,DIFFSTB,IO_L08N_2/GCLK15,UNUSED,,2,,,,,,,,,
P42,,,GND,,,,,,,,,,,,
P43,,DIFFMTB,IO_L09P_2/GCLK0,UNUSED,,2,,,,,,,,,
P44,,DIFFSTB,IO_L09N_2/GCLK1,UNUSED,,2,,,,,,,,,
P45,,,VCCO_2,,,2,,,,,2.50,,,,
P46,,DIFFMTB,IO_2/MOSI/CSI_B,UNUSED,,2,,,,,,,,,
P47,,,GND,,,,,,,,,,,,
P48,,DIFFMTB,IO_L10P_2/INIT_B,UNUSED,,2,,,,,,,,,
P49,SevenSegControlMod<1>,IOB,IO_L10N_2/D3,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P50,SevenSegControlMod<0>,IOB,IO_L11P_2/D2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P51,,DIFFSTB,IO_L11N_2/D0/DIN/MISO,UNUSED,,2,,,,,,,,,
P52,SevenSegControlMod<2>,IOB,IO_L12P_2/D1,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P53,,DIFFSTB,IO_L12N_2/CCLK,UNUSED,,2,,,,,,,,,
P54,,,DONE,,,,,,,,,,,,
P55,,,VCCAUX,,,,,,,,2.5,,,,
P56,SevenSegControlMod<3>,IOB,IO_L01P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P57,SevenSegControlMod<5>,IOB,IO_L01N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P58,,,GND,,,,,,,,,,,,
P59,SevenSegControlMod<4>,IOB,IO_L02P_1/RHCLK0,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P60,SevenSegControlMod<6>,IOB,IO_L02N_1/RHCLK1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P61,SevenSegControlMod<7>,IOB,IO_L03P_1/RHCLK2,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P62,SevenSegBusMod<6>,IOB,IO_L03N_1/TRDY1/RHCLK3,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P63,,,GND,,,,,,,,,,,,
P64,SevenSegBusMod<1>,IOB,IO_L04P_1/IRDY1/RHCLK6,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P65,SevenSegBusMod<5>,IOB,IO_L04N_1/RHCLK7,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P66,,,VCCINT,,,,,,,,1.2,,,,
P67,,,VCCO_1,,,1,,,,,2.50,,,,
P68,,DIFFMI_NDT,IP_1/VREF_1,UNUSED,,1,,,,,,,,,
P69,,,GND,,,,,,,,,,,,
P70,SevenSegBusMod<0>,IOB,IO_L05P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P71,SevenSegBusMod<7>,IOB,IO_L05N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P72,SevenSegBusMod<4>,IOB,IO_L06P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P73,SevenSegBusMod<3>,IOB,IO_L06N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P74,,,GND,,,,,,,,,,,,
P75,,,TDO,,,,,,,,,,,,
P76,,,TCK,,,,,,,,,,,,
P77,,DIFFMTB,IO_L01P_0/VREF_0,UNUSED,,0,,,,,,,,,
P78,,DIFFSTB,IO_L01N_0,UNUSED,,0,,,,,,,,,
P79,,,VCCO_0,,,0,,,,,2.50,,,,
P80,,,GND,,,,,,,,,,,,
P81,,,VCCINT,,,,,,,,1.2,,,,
P82,,IBUF,IP_0/VREF_0,UNUSED,,0,,,,,,,,,
P83,,DIFFMTB,IO_L02P_0/GCLK4,UNUSED,,0,,,,,,,,,
P84,,DIFFSTB,IO_L02N_0/GCLK5,UNUSED,,0,,,,,,,,,
P85,,DIFFMTB,IO_L03P_0/GCLK6,UNUSED,,0,,,,,,,,,
P86,,DIFFSTB,IO_L03N_0/GCLK7,UNUSED,,0,,,,,,,,,
P87,,,GND,,,,,,,,,,,,
P88,,DIFFMTB,IO_L04P_0/GCLK8,UNUSED,,0,,,,,,,,,
P89,,DIFFSTB,IO_L04N_0/GCLK9,UNUSED,,0,,,,,,,,,
P90,,DIFFSTB,IO_0/GCLK11,UNUSED,,0,,,,,,,,,
P91,,,GND,,,,,,,,,,,,
P92,,,VCCAUX,,,,,,,,2.5,,,,
P93,,DIFFMTB,IO_L05P_0,UNUSED,,0,,,,,,,,,
P94,,DIFFSTB,IO_L05N_0,UNUSED,,0,,,,,,,,,
P95,,,GND,,,,,,,,,,,,
P96,,,VCCO_0,,,0,,,,,2.50,,,,
P97,,IBUF,IP_0,UNUSED,,0,,,,,,,,,
P98,SevenSegBusMod<2>,IOB,IO_L06P_0/VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P99,,DIFFSTB,IO_L06N_0/PUDC_B,UNUSED,,0,,,,,,,,,
P100,,,PROG_B,,,,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
